,Explained Variance Score,R^2,MSE Score
knn,0.6642894996887843,0.6641361888461026,0.644914088523597
svm_rbf,0.7112854776207014,0.7097946480991837,0.5572422922338198
dt,0.31038082317556315,0.31038082317556304,1.3241829220068504
rf,0.8199114944374745,0.8198776589006213,0.34586469746100323
mlp,0.61256288128164,0.6100164884781539,0.7488328677277456
stack,0.683066485704453,0.6820704062900147,0.6104774236846903
